#,Timestamp,ID (hex),DLC,Data (hex),Type
221,16:25:16.433,0x0CA,8,86 01 00 00 00 00 00 00,STD
222,16:25:16.433,0x0CA,8,86 01 00 00 00 00 00 00,STD
223,16:25:16.449,0x092,8,00 01 01 01 03 02 02 03,STD
224,16:25:16.480,0x033,8,00 00 64 64 00 00 00 00,STD
225,16:25:16.496,0x093,8,01 01 39 0D 00 06 03 01,STD
226,16:25:16.574,0x036,8,00 00 00 00 00 00 00 00,STD
227,16:25:16.653,0x032,8,00 00 01 00 00 00 00 01,STD
228,16:25:16.668,0x027,8,F1 00 00 00 00 00 00 00,STD
229,16:25:16.746,0x02B,8,F2 00 00 00 00 00 00 00,STD
230,16:25:16.825,0x033,8,00 00 64 64 00 00 00 00,STD
231,16:25:16.841,0x034,8,04 00 00 00 00 00 00 00,STD
232,16:25:16.872,0x035,8,01 00 38 00 00 00 1F 00,STD
233,16:25:17.092,0x05A,8,00 00 00 00 00 00 00 00,STD
234,16:25:17.124,0x05B,8,7F 00 00 00 04 00 00 00,STD
235,16:25:17.139,0x083,8,00 00 95 0B 93 0B 38 04,STD
236,16:25:17.171,0x084,8,84 85 01 01 00 05 2B 01,STD
237,16:25:17.202,0x032,8,00 00 01 00 00 00 00 01,STD
238,16:25:17.218,0x085,8,00 00 03 00 00 00 01 00,STD
239,16:25:17.249,0x086,8,02 5C 02 1E 00 01 01 01,STD
240,16:25:17.265,0x087,8,00 04 01 64 01 01 09 03,STD
241,16:25:17.296,0x088,8,06 1E 28 42 58 00 00 00,STD
242,16:25:17.312,0x089,8,06 04 04 04 04 00 00 00,STD
243,16:25:17.343,0x08A,8,06 00 00 00 00 00 00 00,STD
244,16:25:17.374,0x033,8,00 00 64 64 00 00 00 00,STD
245,16:25:17.390,0x08C,8,00 00 00 00 00 00 00 00,STD
246,16:25:17.421,0x08D,8,01 00 02 00 00 00 00 04,STD
247,16:25:17.640,0x08E,8,00 02 00 00 14 14 00 00,STD
248,16:25:17.656,0x08F,8,0D 00 03 01 00 00 00 00,STD
249,16:25:17.687,0x091,8,01 03 00 00 00 00 02 00,STD
250,16:25:17.687,0x0CA,8,86 01 00 00 00 00 00 00,STD
251,16:25:17.687,0x0CA,8,86 01 00 00 00 00 00 00,STD
252,16:25:17.719,0x092,8,00 01 01 01 03 02 02 03,STD
253,16:25:17.734,0x032,8,00 00 01 00 00 00 00 01,STD
254,16:25:17.765,0x093,8,01 01 39 0D 00 06 03 01,STD
255,16:25:17.828,0x036,8,00 00 00 00 00 00 00 00,STD
256,16:25:17.906,0x033,8,00 00 64 64 00 00 00 00,STD
257,16:25:17.938,0x027,8,F0 00 00 00 00 00 00 00,STD
258,16:25:18.000,0x02B,8,F0 00 00 00 00 00 00 00,STD
259,16:25:18.078,0x032,8,00 00 01 00 00 00 00 01,STD
260,16:25:18.110,0x034,8,04 00 00 00 00 00 00 00,STD
261,16:25:18.125,0x035,8,01 00 38 00 00 00 1F 00,STD
262,16:25:18.157,0x05A,8,00 00 00 00 00 00 00 00,STD
263,16:25:18.172,0x05B,8,7F 00 00 00 04 00 00 00,STD
264,16:25:18.203,0x083,8,00 00 95 0B 93 0B 38 04,STD
265,16:25:18.235,0x084,8,84 85 01 01 00 05 2B 01,STD
266,16:25:18.250,0x033,8,00 00 64 64 00 00 00 00,STD
267,16:25:18.281,0x085,8,00 00 03 00 00 00 01 00,STD
268,16:25:18.297,0x086,8,02 5C 02 1E 00 01 01 01,STD
269,16:25:18.532,0x087,8,00 04 01 64 01 01 09 03,STD
270,16:25:18.563,0x088,8,07 1E 28 42 58 00 00 00,STD
271,16:25:18.579,0x089,8,07 04 04 04 04 00 00 00,STD
272,16:25:18.610,0x08A,8,07 00 00 00 00 00 00 00,STD
273,16:25:18.625,0x032,8,00 00 01 00 00 00 00 01,STD
274,16:25:18.626,0x00B,8,13 7F 64 64 04 04 00 00,STD
275,16:25:18.657,0x08C,8,00 00 00 00 00 00 00 00,STD
276,16:25:18.673,0x08D,8,01 00 02 00 00 00 00 04,STD
277,16:25:18.704,0x08E,8,00 02 00 00 14 14 00 00,STD
278,16:25:18.735,0x08F,8,0D 00 03 01 00 00 00 00,STD
279,16:25:18.751,0x091,8,01 03 00 00 00 00 02 00,STD
280,16:25:18.751,0x0CA,8,86 01 00 00 00 00 00 00,STD
281,16:25:18.751,0x0CA,8,86 01 00 00 00 00 00 00,STD
282,16:25:18.782,0x092,8,00 01 01 01 03 02 02 03,STD
283,16:25:18.798,0x033,8,00 00 64 64 00 00 00 00,STD
284,16:25:18.829,0x093,8,01 01 39 0D 00 06 03 01,STD
285,16:25:19.095,0x036,8,00 00 00 00 00 00 00 00,STD
286,16:25:19.173,0x032,8,00 00 01 00 00 00 00 01,STD
287,16:25:19.189,0x027,8,F1 00 00 00 00 00 00 00,STD
288,16:25:19.267,0x02B,8,F1 00 00 00 00 00 00 00,STD
289,16:25:19.345,0x033,8,00 00 64 64 00 00 00 00,STD
290,16:25:19.361,0x034,8,04 00 00 00 00 00 00 00,STD
291,16:25:19.392,0x035,8,01 00 38 00 00 00 1F 00,STD
292,16:25:19.424,0x05A,8,00 00 00 00 00 00 00 00,STD
293,16:25:19.439,0x05B,8,7F 00 00 00 04 00 00 00,STD
294,16:25:19.471,0x083,8,00 00 95 0B 93 0B 38 04,STD
295,16:25:19.486,0x084,8,85 85 01 01 00 05 2B 01,STD
296,16:25:19.518,0x032,8,00 00 01 00 00 00 00 01,STD
297,16:25:19.533,0x085,8,00 00 03 00 00 00 01 00,STD
298,16:25:19.565,0x086,8,02 5C 02 1E 00 01 01 01,STD
299,16:25:19.581,0x087,8,00 04 01 64 01 01 09 03,STD
300,16:25:19.612,0x088,8,00 1E 28 42 58 00 00 00,STD
301,16:25:19.643,0x089,8,00 12 12 12 15 00 00 00,STD
302,16:25:19.659,0x08A,8,00 01 02 02 01 00 00 00,STD
303,16:25:19.691,0x033,8,00 00 64 64 00 00 00 00,STD
304,16:25:19.707,0x08C,8,00 00 00 00 00 00 00 00,STD
305,16:25:19.738,0x08D,8,01 00 02 00 00 00 00 04,STD
306,16:25:19.973,0x08E,8,00 02 00 00 14 14 00 00,STD
307,16:25:19.989,0x08F,8,0D 00 03 01 00 00 00 00,STD
308,16:25:20.020,0x091,8,01 03 00 00 00 00 02 00,STD
309,16:25:20.020,0x0CA,8,86 01 00 00 00 00 00 00,STD
310,16:25:20.020,0x0CA,8,86 01 00 00 00 00 00 00,STD
311,16:25:20.036,0x092,8,00 01 01 01 03 02 02 03,STD
312,16:25:20.067,0x032,8,00 00 01 00 00 00 00 01,STD
313,16:25:20.082,0x093,8,01 01 39 0D 00 06 03 01,STD
314,16:25:20.161,0x036,8,00 00 00 00 00 00 00 00,STD
315,16:25:20.240,0x033,8,00 00 64 64 00 00 00 00,STD
316,16:25:20.255,0x027,8,F0 00 00 00 00 00 00 00,STD
317,16:25:20.537,0x02B,8,F2 00 00 00 00 00 00 00,STD
