CanID,Description,Bit,Variable,Function,Options,History,,,,,,,,,,,,,,,,,,,
36,PSU to AC-DC Charger Request,7,Data7,Data sent to Device (byte7),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,0,Command,Command sent to PSU (byte0),"00=Not Used,
01=Not Used,
02=BATTOUT_V,
03=BATTOUT_I,
04=Not Used,
05=POWER,
06=BULK_I,
07=BOOST_V,
08=FLOAT_V,
09=TAPER_I,
0A=BULK_TIMEOUT,
0B=BOOST_TIMEOUT,
0C=BATT_PROFILE,
0D=ERROR_STATUS,
0E=CHARGE_STATUS,
0F=FAN_MODE,
F0=GROUP1 (BATTOUT_V, BATTOUT_I, CHARGE_STATUS, ERROR_STATUS, POWER),
FF=ERROR",,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,1,Data1,Data sent to PSU (byte1),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,2,Data2,Data sent to PSU (byte2),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,3,Data3,Data sent to PSU (byte3),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,4,Data4,Data sent to PSU (byte4),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,5,Data5,Data sent to PSU (byte5),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,6,Data6,Data sent to PSU (byte6),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,7,Data7,Data sent to PSU (byte7),,,,,,,,,,,,,,,,,,,,,
37,PSU to DC-DC Charger Request,0,Command,Command sent to Device (byte0),"00=BATTIN_V,
01=BATTIN_I,
02=BATTOUT_V,
03=BATTOUT_I,
04=EXT_TEMP,
05=POWER,
06=BULK_I,
07=BOOST_V,
08=FLOAT_V,
09=TAPER_I,
0A=BULK_TIMEOUT,
0B=BOOST_TIMEOUT,
0C=BATT_PROFILE,
0D=ERROR_STATUS,
0E=CHARGE_STATUS,
F0=GROUP1 (BATTOUT_V, BATTOUT_I, CHARGE_STATUS, ERROR_STATUS, POWER),
F1=GROUP2 (BATTIN_V, BATTIN_I, EXT_TEMP)",,,,,,,,,,,,,,,,,,,,
37,PSU to DC-DC Charger Request,1,Data1,Data sent to Device (byte1),,,,,,,,,,,,,,,,,,,,,
37,PSU to DC-DC Charger Request,2,Data2,Data sent to Device (byte2),,,,,,,,,,,,,,,,,,,,,
37,PSU to DC-DC Charger Request,3,Data3,Data sent to Device (byte3),,,,,,,,,,,,,,,,,,,,,
37,PSU to DC-DC Charger Request,4,Data4,Data sent to Device (byte4),,,,,,,,,,,,,,,,,,,,,
37,PSU to DC-DC Charger Request,5,Data5,Data sent to Device (byte5),,,,,,,,,,,,,,,,,,,,,
37,PSU to DC-DC Charger Request,6,Data6,Data sent to Device (byte6),,,,,,,,,,,,,,,,,,,,,
37,PSU to DC-DC Charger Request,7,Data7,Data sent to Device (byte7),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,0,Command,Command sent to PSU (byte0),"00=BATTIN_V,
01=BATTIN_I,
02=BATTOUT_V,
03=BATTOUT_I,
04=EXT_TEMP,
05=POWER,
06=BULK_I,
07=BOOST_V,
08=FLOAT_V,
09=TAPER_I,
0A=BULK_TIMEOUT,
0B=BOOST_TIMEOUT,
0C=BATT_PROFILE,
0D=ERROR_STATUS,
0E=CHARGE_STATUS,
F0=GROUP1 (BATTOUT_V, BATTOUT_I, CHARGE_STATUS, ERROR_STATUS, POWER),
F1=GROUP2 (BATTIN_V, BATTIN_I, EXT_TEMP)",,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,1,Data1,Data sent to PSU (byte1),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,2,Data2,Data sent to PSU (byte2),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,3,Data3,Data sent to PSU (byte3),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,4,Data4,Data sent to PSU (byte4),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,5,Data5,Data sent to PSU (byte5),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,6,Data6,Data sent to PSU (byte6),,,,,,,,,,,,,,,,,,,,,
76,AC-DC Charger to PSU Reply,7,Data7,Data sent to PSU (byte7),,,,,,,,,,,,,,,,,,,,,
38,PSU to Solar Regulator Request,0,Command,Command sent to Device (byte0),"00=SOLARIN_V,
01=SOLARIN_I,
02=BATTOUT_V,
03=BATTOUT_I,
04=EXT_TEMP,
05=POWER,
06=BULK_I,
07=BOOST_V,
08=FLOAT_V,
09=TAPER_I,
0A=BULK_TIMEOUT,
0B=BOOST_TIMEOUT,
0C=BATT_PROFILE,
0D=ERROR_STATUS,
0E=CHARGE_STATUS,
F0=GROUP1 (BATTOUT_V, BATTOUT_I, CHARGE_STATUS, ERROR_STATUS, POWER),
F1=GROUP2 (SOLARIN_V, SOLARIN_I, EXT_TEMP)",,,,,,,,,,,,,,,,,,,,
38,PSU to Solar Regulator Request,1,Data1,Data sent to Device (byte1),,,,,,,,,,,,,,,,,,,,,
38,PSU to Solar Regulator Request,2,Data2,Data sent to Device (byte2),,,,,,,,,,,,,,,,,,,,,
38,PSU to Solar Regulator Request,3,Data3,Data sent to Device (byte3),,,,,,,,,,,,,,,,,,,,,
38,PSU to Solar Regulator Request,4,Data4,Data sent to Device (byte4),,,,,,,,,,,,,,,,,,,,,
38,PSU to Solar Regulator Request,5,Data5,Data sent to Device (byte5),,,,,,,,,,,,,,,,,,,,,
38,PSU to Solar Regulator Request,6,Data6,Data sent to Device (byte6),,,,,,,,,,,,,,,,,,,,,
38,PSU to Solar Regulator Request,7,Data7,Data sent to Device (byte7),,,,,,,,,,,,,,,,,,,,,
77,Solar Regulator to PSU Reply,0,Command,Command sent to PSU (byte0),"00=SOLARIN_V,
01=SOLARIN_I,
02=BATTOUT_V,
03=BATTOUT_I,
04=EXT_TEMP,
05=POWER,
06=BULK_I,
07=BOOST_V,
08=FLOAT_V,
09=TAPER_I,
0A=BULK_TIMEOUT,
0B=BOOST_TIMEOUT,
0C=BATT_PROFILE,
0D=ERROR_STATUS,
0E=CHARGE_STATUS,
F0=GROUP1 (BATTOUT_V, BATTOUT_I, CHARGE_STATUS, ERROR_STATUS, POWER),
F1=GROUP2 (SOLARIN_V, SOLARIN_I, EXT_TEMP)",,,,,,,,,,,,,,,,,,,,
77,Solar Regulator to PSU Reply,1,Data1,Data sent to PSU (byte1),,,,,,,,,,,,,,,,,,,,,
77,Solar Regulator to PSU Reply,2,Data2,Data sent to PSU (byte2),,,,,,,,,,,,,,,,,,,,,
77,Solar Regulator to PSU Reply,3,Data3,Data sent to PSU (byte3),,,,,,,,,,,,,,,,,,,,,
77,Solar Regulator to PSU Reply,4,Data4,Data sent to PSU (byte4),,,,,,,,,,,,,,,,,,,,,
77,Solar Regulator to PSU Reply,5,Data5,Data sent to PSU (byte5),,,,,,,,,,,,,,,,,,,,,
77,Solar Regulator to PSU Reply,6,Data6,Data sent to PSU (byte6),,,,,,,,,,,,,,,,,,,,,
77,Solar Regulator to PSU Reply,7,Data7,Data sent to PSU (byte7),,,,,,,,,,,,,,,,,,,,,
39,PSU to Inverter Request,0,Command,Command sent to Device (byte0),"00=VOLTAGE_DC,
01=VOLTAGE_AC,
02=POWER_AC,
03=ERROR,
04=STATUS,
05=VERSION,
06=POWER_SAVING,
07=ALARM_BUZZER,
08=LVP_MODE,
09=TRANSFER_MODE,
0A=FREQUENCY,
0B=AC_SET,
0C=ON_OFF,
F0=GROUP1 (VOLTAGE_DC, VOLTAGE_AC, POWER_AC, WORKING_STATUS),
F1=GROUP2 (ERROR, STATUS, POWER_SAVING, TRANSFER_MODE, FREQUENCY, AC_SET, ON_OFF)",,,,,,,,,,,,,,,,,,,,
39,PSU to Inverter Request,1,Data1,Data sent to Device (byte1),,,,,,,,,,,,,,,,,,,,,
39,PSU to Inverter Request,2,Data2,Data sent to Device (byte2),,,,,,,,,,,,,,,,,,,,,
39,PSU to Inverter Request,3,Data3,Data sent to Device (byte3),,,,,,,,,,,,,,,,,,,,,
39,PSU to Inverter Request,4,Data4,Data sent to Device (byte4),,,,,,,,,,,,,,,,,,,,,
39,PSU to Inverter Request,5,Data5,Data sent to Device (byte5),,,,,,,,,,,,,,,,,,,,,
39,PSU to Inverter Request,6,Data6,Data sent to Device (byte6),,,,,,,,,,,,,,,,,,,,,
39,PSU to Inverter Request,7,Data7,Data sent to Device (byte7),,,,,,,,,,,,,,,,,,,,,
78,Inverter to PSU Reply,0,Command,Command sent to PSU (byte0),"00=VOLTAGE_DC,
01=VOLTAGE_AC,
02=POWER_AC,
03=ERROR,
04=STATUS,
05=VERSION,
06=POWER_SAVING,
07=ALARM_BUZZER,
08=LVP_MODE,
09=TRANSFER_MODE,
0A=FREQUENCY,
0B=AC_SET,
0C=ON_OFF,
F0=GROUP1 (VOLTAGE_DC, VOLTAGE_AC, POWER_AC, WORKING_STATUS),
F1=GROUP2 (ERROR, STATUS, POWER_SAVING, TRANSFER_MODE, FREQUENCY, AC_SET, ON_OFF)",,,,,,,,,,,,,,,,,,,,
78,Inverter to PSU Reply,1,Data1,Data sent to PSU (byte1),,,,,,,,,,,,,,,,,,,,,
78,Inverter to PSU Reply,2,Data2,Data sent to PSU (byte2),,,,,,,,,,,,,,,,,,,,,
78,Inverter to PSU Reply,3,Data3,Data sent to PSU (byte3),,,,,,,,,,,,,,,,,,,,,
78,Inverter to PSU Reply,4,Data4,Data sent to PSU (byte4),,,,,,,,,,,,,,,,,,,,,
78,Inverter to PSU Reply,5,Data5,Data sent to PSU (byte5),,,,,,,,,,,,,,,,,,,,,
78,Inverter to PSU Reply,6,Data6,Data sent to PSU (byte6),,,,,,,,,,,,,,,,,,,,,
78,Inverter to PSU Reply,7,Data7,Data sent to PSU (byte7),,,,,,,,,,,,,,,,,,,,,
40,PSU to Lithium Battery Request,0,Command,Command sent to Device (byte0),"00=VOLTAGE,
01=CURRENT,
02=CHARGE%,
03=HEALTH%,
04=CAPACITY_AH,
05=FULL_CAPACITY_AH,
06=CYCLES,
07=CELL1_VOLTAGE,
08=CELL2_VOLTAGE,
09=CELL3_VOLTAGE,
0A=CELL4_VOLTAGE,
0B=TEMPERATURE,
0C=FAULT_STATUS,
0D=TIME_TO_EMPTY,
0E=TIME_TO_FULL,
0F=SET_ADDRESS,
F0=GROUP1 (VOLTAGE, CURRENT, CHARGE%),
F1=GROUP2 (HEALTH%, CAPACITY_AH, FULL_CAPACITY_AH)
F2=GROUP3 (CYCLES, TEMPERATURE, FAULT_STATUS)
F3=GROUP4 (TIME_TO_EMPTY, TIME_TO_FULL, SOFTWARE_VER, HARDWARE_VER)",,,,,,,,,,,,,,,,,,,,
40,PSU to Lithium Battery Request,1,Data1,Data sent to Device (byte1),,,,,,,,,,,,,,,,,,,,,
40,PSU to Lithium Battery Request,2,Data2,Data sent to Device (byte2),,,,,,,,,,,,,,,,,,,,,
40,PSU to Lithium Battery Request,3,Data3,Data sent to Device (byte3),,,,,,,,,,,,,,,,,,,,,
40,PSU to Lithium Battery Request,4,Data4,Data sent to Device (byte4),,,,,,,,,,,,,,,,,,,,,
40,PSU to Lithium Battery Request,5,Data5,Data sent to Device (byte5),,,,,,,,,,,,,,,,,,,,,
40,PSU to Lithium Battery Request,6,Data6,Data sent to Device (byte6),,,,,,,,,,,,,,,,,,,,,
40,PSU to Lithium Battery Request,7,Data7,Data sent to Device (byte7),,,,,,,,,,,,,,,,,,,,,
79,Lithium Battery to PSU Reply,0,Command,Command sent to PSU (byte0),"00=VOLTAGE,
01=CURRENT,
02=CHARGE%,
03=HEALTH%,
04=CAPACITY_AH,
05=FULL_CAPACITY_AH,
06=CYCLES,
07=CELL1_VOLTAGE,
08=CELL2_VOLTAGE,
09=CELL3_VOLTAGE,
0A=CELL4_VOLTAGE,
0B=TEMPERATURE,
0C=FAULT_STATUS,
0D=TIME_TO_EMPTY,
0E=TIME_TO_FULL,
0F=SET_ADDRESS,
F0=GROUP1 (VOLTAGE, CURRENT, CHARGE%),
F1=GROUP2 (HEALTH%, CAPACITY_AH, FULL_CAPACITY_AH)
F2=GROUP3 (CYCLES, TEMPERATURE, FAULT_STATUS)
F3=GROUP4 (TIME_TO_EMPTY, TIME_TO_FULL, SOFTWARE_VER, HARDWARE_VER)",,,,,,,,,,,,,,,,,,,,
79,Lithium Battery to PSU Reply,1,Data1,Data sent to PSU (byte1),,,,,,,,,,,,,,,,,,,,,
79,Lithium Battery to PSU Reply,2,Data2,Data sent to PSU (byte2),,,,,,,,,,,,,,,,,,,,,
79,Lithium Battery to PSU Reply,3,Data3,Data sent to PSU (byte3),,,,,,,,,,,,,,,,,,,,,
79,Lithium Battery to PSU Reply,4,Data4,Data sent to PSU (byte4),,,,,,,,,,,,,,,,,,,,,
79,Lithium Battery to PSU Reply,5,Data5,Data sent to PSU (byte5),,,,,,,,,,,,,,,,,,,,,
79,Lithium Battery to PSU Reply,6,Data6,Data sent to PSU (byte6),,,,,,,,,,,,,,,,,,,,,
79,Lithium Battery to PSU Reply,7,Data7,Data sent to PSU (byte7),,,,,,,,,,,,,,,,,,,,,
41,PSU to Ultrasonic Water Sensor Request,0,Command,Command sent to Device (byte0),"00=LEVEL_DATA,
01=TEMPERATURE_DATA,
02=SETUP,
03=SOFT_RESET,
B1=HARD_RESET,
E1=SET_SENSOR_TYPE,
E3=SET_SENSOR_GAIN,",,,,,,,,,,,,,,,,,,,,
41,PSU to Ultrasonic Water Sensor Request,1,Data1,Data sent to Device (byte1),,,,,,,,,,,,,,,,,,,,,
41,PSU to Ultrasonic Water Sensor Request,2,Data2,Data sent to Device (byte2),,,,,,,,,,,,,,,,,,,,,
41,PSU to Ultrasonic Water Sensor Request,3,Data3,Data sent to Device (byte3),,,,,,,,,,,,,,,,,,,,,
41,PSU to Ultrasonic Water Sensor Request,4,Data4,Data sent to Device (byte4),,,,,,,,,,,,,,,,,,,,,
41,PSU to Ultrasonic Water Sensor Request,5,Data5,Data sent to Device (byte5),,,,,,,,,,,,,,,,,,,,,
41,PSU to Ultrasonic Water Sensor Request,6,Data6,Data sent to Device (byte6),,,,,,,,,,,,,,,,,,,,,
41,PSU to Ultrasonic Water Sensor Request,7,Data7,Data sent to Device (byte7),,,,,,,,,,,,,,,,,,,,,
80,Ultrasonic Water Sensor to PSU Reply,0,Command,Command sent to PSU (byte0),"00=LEVEL_DATA,
01=TEMPERATURE_DATA,
02=SETUP,
03=SOFT_RESET,
B1=HARD_RESET,
E1=SET_SENSOR_TYPE,
E3=SET_SENSOR_GAIN,",,,,,,,,,,,,,,,,,,,,
80,Ultrasonic Water Sensor to PSU Reply,1,Data1,Data sent to PSU (byte1),,,,,,,,,,,,,,,,,,,,,
80,Ultrasonic Water Sensor to PSU Reply,2,Data2,Data sent to PSU (byte2),,,,,,,,,,,,,,,,,,,,,
80,Ultrasonic Water Sensor to PSU Reply,3,Data3,Data sent to PSU (byte3),,,,,,,,,,,,,,,,,,,,,
80,Ultrasonic Water Sensor to PSU Reply,4,Data4,Data sent to PSU (byte4),,,,,,,,,,,,,,,,,,,,,
80,Ultrasonic Water Sensor to PSU Reply,5,Data5,Data sent to PSU (byte5),,,,,,,,,,,,,,,,,,,,,
80,Ultrasonic Water Sensor to PSU Reply,6,Data6,Data sent to PSU (byte6),,,,,,,,,,,,,,,,,,,,,
80,Ultrasonic Water Sensor to PSU Reply,7,Data7,Data sent to PSU (byte7),,,,,,,,,,,,,,,,,,,,,
42,PSU to DAB Radio Request,0,Command,Command sent to Device (byte0),"00=AUDIO_CONTROLS,
01=MEDIA_CONTROLS,
02=DAB_STATION_1,
03=DAB_STATION_2,
04=DAB_STATION_3,
05=DAB_STATION_4,
06=FM_STATION_1,
07=FM_STATION_2,
08=USB_ARTIST_1,
09=USB_ARTIST_2,
0A=USB_ARTIST_3,
0B=USB_ALBUM_1,
0C=USB_ALBUM_2,
0D=USB_ALBUM_3,
0E=USB_TRACK_1,
0F=USB_TRACK_2,
10=USB_TRACK_3,
11=DAB_MEMORY,
12=FM_MEMORY,
13=BLUETOOTH,
14=DAB_TUNE",,,,,,,,,,,,,,,,,,,,
42,PSU to DAB Radio Request,1,Data1,Data sent to Device (byte1),,,,,,,,,,,,,,,,,,,,,
42,PSU to DAB Radio Request,2,Data2,Data sent to Device (byte2),,,,,,,,,,,,,,,,,,,,,
42,PSU to DAB Radio Request,3,Data3,Data sent to Device (byte3),,,,,,,,,,,,,,,,,,,,,
42,PSU to DAB Radio Request,4,Data4,Data sent to Device (byte4),,,,,,,,,,,,,,,,,,,,,
42,PSU to DAB Radio Request,5,Data5,Data sent to Device (byte5),,,,,,,,,,,,,,,,,,,,,
42,PSU to DAB Radio Request,6,Data6,Data sent to Device (byte6),,,,,,,,,,,,,,,,,,,,,
42,PSU to DAB Radio Request,7,Data7,Data sent to Device (byte7),,,,,,,,,,,,,,,,,,,,,
81,DAB Radio to PSU Reply,0,Command,Command sent to PSU (byte0),"00=AUDIO_CONTROLS,
01=MEDIA_CONTROLS,
02=DAB_STATION_1,
03=DAB_STATION_2,
04=DAB_STATION_3,
05=DAB_STATION_4,
06=FM_STATION_1,
07=FM_STATION_2,
08=USB_ARTIST_1,
09=USB_ARTIST_2,
0A=USB_ARTIST_3,
0B=USB_ALBUM_1,
0C=USB_ALBUM_2,
0D=USB_ALBUM_3,
0E=USB_TRACK_1,
0F=USB_TRACK_2,
10=USB_TRACK_3,
11=DAB_MEMORY,
12=FM_MEMORY,
13=BLUETOOTH,
14=DAB_TUNE",,,,,,,,,,,,,,,,,,,,
81,DAB Radio to PSU Reply,1,Data1,Data sent to PSU (byte1),,,,,,,,,,,,,,,,,,,,,
81,DAB Radio to PSU Reply,2,Data2,Data sent to PSU (byte2),,,,,,,,,,,,,,,,,,,,,
81,DAB Radio to PSU Reply,3,Data3,Data sent to PSU (byte3),,,,,,,,,,,,,,,,,,,,,
81,DAB Radio to PSU Reply,4,Data4,Data sent to PSU (byte4),,,,,,,,,,,,,,,,,,,,,
81,DAB Radio to PSU Reply,5,Data5,Data sent to PSU (byte5),,,,,,,,,,,,,,,,,,,,,
81,DAB Radio to PSU Reply,6,Data6,Data sent to PSU (byte6),,,,,,,,,,,,,,,,,,,,,
81,DAB Radio to PSU Reply,7,Data7,Data sent to PSU (byte7),,,,,,,,,,,,,,,,,,,,,
43,PSU to 3-IN-1 Charger Request,0,Command,Command sent to Device (byte0),"00=BATTIN_V,
01=BATTIN_I,
02=SOLARIN_V,
03=SOLARIN_I,
04=BATTOUT_V,
05=BATTOUT_I,
06=AH_TOTAL,
07=WH_TOTAL,
08=RESET_AH_WH,
09=EXT_TEMP,
0A=Not used,
0B=BULK_I_ACDC,
0C=BULK_I_DCDC,
0D=BULK_I_SOLAR,
0E=TAPER_I,
0F=BOOST_TIMEOUT,
10=POWER_ACDC,
11=DIP_SWITCH,
12=ERROR_STATUS,
13=CHARGE_STATUS,
14=BOOST_V,
15=FLOAT_V,
16=VEHICLE_CHARGE,
17=CHARGE_STATUS2,
F0=GROUP1 (BATTOUT_V, BATTOUT_I, DIP_SWITCH, ERROR_STATUS, CHARGE_STATUS)
F1=GROUP2 (BATTIN_V, BATTIN_I, VEHICLE_CHARGE, CHARGE_STATUS2)
F2=GROUP3 (SOLARIN_V, SOLARIN_I)
F3=GROUP4 (BOOST_V, FLOAT_V)
F4=GROUP5 (AH_TOTAL, WH_TOTAL, EXT_TEMP)
F5=GROUP6 (BULK_I_ACDC, BULK_I_DCDC, BULK_I_SOLAR, TAPER_I, BOOST_TIMEOUT)",,,,,,,,,,,,,,,,,,,,
43,PSU to 3-IN-1 Charger Request,1,Data1,Data sent to Device (byte1),,,,,,,,,,,,,,,,,,,,,
43,PSU to 3-IN-1 Charger Request,2,Data2,Data sent to Device (byte2),,,,,,,,,,,,,,,,,,,,,
43,PSU to 3-IN-1 Charger Request,3,Data3,Data sent to Device (byte3),,,,,,,,,,,,,,,,,,,,,
43,PSU to 3-IN-1 Charger Request,4,Data4,Data sent to Device (byte4),,,,,,,,,,,,,,,,,,,,,
43,PSU to 3-IN-1 Charger Request,5,Data5,Data sent to Device (byte5),,,,,,,,,,,,,,,,,,,,,
43,PSU to 3-IN-1 Charger Request,6,Data6,Data sent to Device (byte6),,,,,,,,,,,,,,,,,,,,,
43,PSU to 3-IN-1 Charger Request,7,Data7,Data sent to Device (byte7),,,,,,,,,,,,,,,,,,,,,
83,3-IN-1 Charger to PSU Reply,0,Command,Command sent to PSU (byte0),"00=BATTIN_V,
01=BATTIN_I,
02=SOLARIN_V,
03=SOLARIN_I,
04=BATTOUT_V,
05=BATTOUT_I,
06=AH_TOTAL,
07=WH_TOTAL,
08=RESET_AH_WH,
09=EXT_TEMP,
0A=Not used,
0B=BULK_I_ACDC,
0C=BULK_I_DCDC,
0D=BULK_I_SOLAR,
0E=TAPER_I,
0F=BOOST_TIMEOUT,
10=POWER_ACDC,
11=DIP_SWITCH,
12=ERROR_STATUS,
13=CHARGE_STATUS,
14=BOOST_V,
15=FLOAT_V,
16=VEHICLE_CHARGE,
17=CHARGE_STATUS2,
F0=GROUP1 (BATTOUT_V, BATTOUT_I, DIP_SWITCH, ERROR_STATUS, CHARGE_STATUS)
F1=GROUP2 (BATTIN_V, BATTIN_I, VEHICLE_CHARGE, CHARGE_STATUS2)
F2=GROUP3 (SOLARIN_V, SOLARIN_I)
F3=GROUP4 (BOOST_V, FLOAT_V)
F4=GROUP5 (AH_TOTAL, WH_TOTAL, EXT_TEMP)
F5=GROUP6 (BULK_I_ACDC, BULK_I_DCDC, BULK_I_SOLAR, TAPER_I, BOOST_TIMEOUT)",,,,,,,,,,,,,,,,,,,,
83,3-IN-1 Charger to PSU Reply,1,Data1,Data sent to PSU (byte1),,,,,,,,,,,,,,,,,,,,,
83,3-IN-1 Charger to PSU Reply,2,Data2,Data sent to PSU (byte2),,,,,,,,,,,,,,,,,,,,,
83,3-IN-1 Charger to PSU Reply,3,Data3,Data sent to PSU (byte3),,,,,,,,,,,,,,,,,,,,,
83,3-IN-1 Charger to PSU Reply,4,Data4,Data sent to PSU (byte4),,,,,,,,,,,,,,,,,,,,,
83,3-IN-1 Charger to PSU Reply,5,Data5,Data sent to PSU (byte5),,,,,,,,,,,,,,,,,,,,,
83,3-IN-1 Charger to PSU Reply,6,Data6,Data sent to PSU (byte6),,,,,,,,,,,,,,,,,,,,,
83,3-IN-1 Charger to PSU Reply,7,Data7,Data sent to PSU (byte7),,,,,,,,,,,,,,,,,,,,,
147,Setting bank 9 from PSU,0,SetOut9[0],Model Year,"26=2026, 27=2027 etc.",,,,,,,,,,,,,,,,,,,,
147,Setting bank 9 from PSU,1,SetOut9[1],Model Variant,"0=Standard, 1=Variant 1, 2=Variant 2, 3=Variant 3, etc.",,,,,,,,,,,,,,,,,,,,
147,Setting bank 9 from PSU,2,,,,,,,,,,,,,,,,,,,,,,,
147,Setting bank 9 from PSU,3,,,,,,,,,,,,,,,,,,,,,,,
147,Setting bank 9 from PSU,4,,,,,,,,,,,,,,,,,,,,,,,
147,Setting bank 9 from PSU,5,,,,,,,,,,,,,,,,,,,,,,,
147,Setting bank 9 from PSU,6,,,,,,,,,,,,,,,,,,,,,,,
147,Setting bank 9 from PSU,7,SetOut9[7],CAN Bus Inverter fitted,"0=NO, 1=YES",,,,,,,,,,,,,,,,,,,,
187,Setting bank 9 to PSU,0,SetOut9[0],Model Year,"26=2026, 27=2027 etc.",,,,,,,,,,,,,,,,,,,,
187,Setting bank 9 to PSU,1,SetOut9[1],Model Variant,"0=Standard, 1=Variant 1, 2=Variant 2, 3=Variant 3, etc.",,,,,,,,,,,,,,,,,,,,
187,Setting bank 9 to PSU,2,,,,,,,,,,,,,,,,,,,,,,,
187,Setting bank 9 to PSU,3,,,,,,,,,,,,,,,,,,,,,,,
187,Setting bank 9 to PSU,4,,,,,,,,,,,,,,,,,,,,,,,
187,Setting bank 9 to PSU,5,,,,,,,,,,,,,,,,,,,,,,,
187,Setting bank 9 to PSU,6,,,,,,,,,,,,,,,,,,,,,,,
187,Setting bank 9 to PSU,7,SetOut9[7],CAN Bus Inverter fitted,"0=NO, 1=YES",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
