CanID,Description,Bit,Variable,Function,Options,History,,,,,,,,,,,,,,,,,,,
52,Status 3 & Warnings from PSU,5,FridgeError,Fridge warnings and errors,"0=OK, others TBA",,,,,,,,,,,,,,,,,,,,
52,Status 3 & Warnings from PSU,6,HeatingError,"0=OK, 1 to 15 (see error list)",Whale system only,,,,,,,,,,,,,,,,,,,,
52,Status 3 & Warnings from PSU,7,HotWaterError,"0=OK, 1 to 15 (see error list)",Whale system only,,,,,,,,,,,,,,,,,,,,
53,Status 4 & Warnings from PSU,0,,"0 = CV Swift
1 = MH Swift
2 = MH Auto-Trail
3 = CV Lunar
4 = MH Lunar
5 = MH Auto-Sleepers
6 = MH Van converters
7 = AB Racers
8 = CV Swift EC400+
9 = MH Swift EC400+
12=LEVC",Copy of CAN ID 134 Byte 7 VehicleType,,,,,,,,,,,,,,,,,,,,
53,Status 4 & Warnings from PSU,1,ModelYear,Infor from server via EC630,Copy of CAN ID 13 Byte 7 Model Year,,,,,,,,,,,,,,,,,,,,
53,Status 4 & Warnings from PSU,2,PSUVersion,PSU version number (i.e. 18),Copy of CAN ID 131 Byte 6 PSU S/W Version,,,,,,,,,,,,,,,,,,,,
53,Status 4 & Warnings from PSU,3,FreshDump,Fresh tank dump valve state,"0=closed, 1=open",,,,,,,,,,,,,,,,,,,,
53,Status 4 & Warnings from PSU,4,WasteDump,Waste tank dump valve state,"0=closed, 1=open",,,,,,,,,,,,,,,,,,,,
53,Status 4 & Warnings from PSU,5,Frost2,Tank heater 2 state,"0=off, 1=on",,,,,,,,,,,,,,,,,,,,
53,Status 4 & Warnings from PSU,6,LINStatus,LIN BUS status (for initial system check screen),"Bit0 = Heating state: 0=fault, 1=ok
Bit1 = Aircon state: 0=fault, 1=ok
Bit2 = Fridge state: 0=fault, 1=ok
Bit3 = ATC state: 0=fault, 1=ok
Bit4 = Whale water heater state: 0=fault, 1=ok",,,,,,,,,,,,,,,,,,,,
53,Status 4 & Warnings from PSU,7,ActiveTimer,Heating Timer that is currently active,"0 = No timer active, 1 to 4 = Timers 1 to 4",,,,,,,,,,,,,,,,,,,,
54,PSU type from PSU to CP (currently modular PSU only),0,PSU Type,"Fixed setting, not changeable","0=EC600, 1=EC400+, 2=MC100",,,,,,,,,,,,,,,,,,,,
54,PSU type from PSU to CP (currently modular PSU only),1,Spare,,(currently modular PSU only),,,,,,,,,,,,,,,,,,,,
54,PSU type from PSU to CP (currently modular PSU only),2,Spare,,(currently modular PSU only),,,,,,,,,,,,,,,,,,,,
54,PSU type from PSU to CP (currently modular PSU only),3,Spare,,(currently modular PSU only),,,,,,,,,,,,,,,,,,,,
54,PSU type from PSU to CP (currently modular PSU only),4,Spare,,(currently modular PSU only),,,,,,,,,,,,,,,,,,,,
54,PSU type from PSU to CP (currently modular PSU only),5,Spare,,(currently modular PSU only),,,,,,,,,,,,,,,,,,,,
54,PSU type from PSU to CP (currently modular PSU only),6,Spare,,(currently modular PSU only),,,,,,,,,,,,,,,,,,,,
54,PSU type from PSU to CP (currently modular PSU only),7,Spare,,(currently modular PSU only),,,,,,,,,,,,,,,,,,,,
55,Internal Temperature & Humidity from CP to PSU,0,IntTH,High byte,Internal Temperature (change values to use Truma Kelvin method),,,,,,,,,,,,,,,,,,,,
55,Internal Temperature & Humidity from CP to PSU,1,IntLH,Low byte,Internal Temperature (change values to use Truma Kelvin method),,,,,,,,,,,,,,,,,,,,
55,Internal Temperature & Humidity from CP to PSU,2,Humidity,Humidity level,0 to 100%,,,,,,,,,,,,,,,,,,,,
55,Internal Temperature & Humidity from CP to PSU,3,Spare,,,,,,,,,,,,,,,,,,,,,,
55,Internal Temperature & Humidity from CP to PSU,4,Spare,,,,,,,,,,,,,,,,,,,,,,
55,Internal Temperature & Humidity from CP to PSU,5,Spare,,,,,,,,,,,,,,,,,,,,,,
55,Internal Temperature & Humidity from CP to PSU,6,Spare,,,,,,,,,,,,,,,,,,,,,,
55,Internal Temperature & Humidity from CP to PSU,7,Spare,,,,,,,,,,,,,,,,,,,,,,
90,Warnings 1 From PSU,0,WFrost,Frost warning active,"0=OK, 1=less <0C with water in tanks",,,,,,,,,,,,,,,,,,,,
90,Warnings 1 From PSU,1,WVBatt,Vehicle voltage warning,"0=OK, 1=(<11.3), 2=(< 10.9), 3=(>15.4)",,,,,,,,,,,,,,,,,,,,
90,Warnings 1 From PSU,2,WLBatt,Leisure voltage warning,"0=OK, 1=(<10), 2=(< 9), 3=(>15.4)",,,,,,,,,,,,,,,,,,,,
90,Warnings 1 From PSU,3,WFWL,Fresh level warning,"0=OK, 1= <25%",,,,,,,,,,,,,,,,,,,,
90,Warnings 1 From PSU,4,WWWL,Waste level warning,"0=OK, 1= 100%",,,,,,,,,,,,,,,,,,,,
90,Warnings 1 From PSU,5,WS1,Step Warning Buzzer,"0=OK, 1=step not in, engine running",,,,,,,,,,,,,,,,,,,,
90,Warnings 1 From PSU,6,WS2,Mains Warning Buzzer,"0=OK, 1=mains on, engine running",,,,,,,,,,,,,,,,,,,,
90,Warnings 1 From PSU,7,WACAmps,AC over current warning,"0=OK, 1=over set limit",,,,,,,,,,,,,,,,,,,,
91,Warnings 2 & Extra Data From PSU,0,CPSerial,CP Software version number,From PSU to EC630 i.e 10 (0-99),,,,,,,,,,,,,,,,,,,,
91,Warnings 2 & Extra Data From PSU,1,EC630SW,EC630 software version + 30,So v24 = 54 (this is to ensure no confusion with earlier data on this byte which could have been 0 to 30),,,,,,,,,,,,,,,,,,,,
91,Warnings 2 & Extra Data From PSU,2, Lin56[7],WATER Whale heater status flags,"Bit0=Mains present
Bit1=Flame present
Bits 2 to 5 RFU
Bit6=Manual panel in use
Bit7=Ci-Bus response error",,,,,,,,,,,,,,,,,,,,
91,Warnings 2 & Extra Data From PSU,3, Lin58[7],AIR Whale heater status flags,"Bit0=Mains present
Bit1=Flame present
Bits 2 to 5 RFU
Bit6=Manual panel in use
Bit7=Ci-Bus response error",,,,,,,,,,,,,,,,,,,,
